,cvi,dataset,correlations
32,CH,type=gaussian-k=50-n=5000-d=10-noise=0,"{'CH': 0.9958305903006363, 'DBI': 0.9792407285494841, 'SIL': 0.9903298953990197, 'DI': 0.9796354274390071, 'CJI': 0.9655290963750349, 'COP': 0.9913100724160632, 'DBCV': 0.9834067603662663}"
33,COP,type=gaussian-k=50-n=5000-d=30-noise=0,"{'CH': 0.9818098906284873, 'DBI': 0.986543956793409, 'SIL': 0.9912216126119869, 'DI': 0.964161691448985, 'CJI': 0.9639795122557272, 'COP': 0.9946524064171122, 'DBCV': 0.950140507413877}"
34,CH,type=gaussian-k=50-n=5000-d=50-noise=0,"{'CH': 0.9922645219879657, 'DBI': 0.9854045119266174, 'SIL': 0.9855221120990977, 'DI': 0.9535492267892253, 'CJI': 0.9597041602218692, 'COP': 0.9902522523699702, 'DBCV': 0.9496471253680884}"
35,DI,type=circles-k=2-n=5000-d=2-noise=0.0,"{'CH': 0.006727705671261361, 'DBI': 0.9335144380722408, 'SIL': 0.015742697119093135, 'DI': 0.9391953529765091, 'CJI': 0.00607036254485696, 'COP': 0.9355267129489888, 'DBCV': 0.7299599688311299}"
36,COP,type=circles-k=2-n=5000-d=2-noise=0.01,"{'CH': -0.273224127143685, 'DBI': -0.203536122213688, 'SIL': -0.15836145186212988, 'DI': 0.7354505863950871, 'CJI': -0.2410164392568446, 'COP': 0.8422377093122261, 'DBCV': 0.7623734638783135}"
37,DBCV,type=circles-k=2-n=5000-d=2-noise=0.05,"{'CH': -0.002390803330603034, 'DBI': 0.0007647814688672529, 'SIL': 0.23992779360688604, 'DI': 0.9620362619210516, 'CJI': -0.0005787555377948037, 'COP': 0.8699630355675007, 'DBCV': 0.3808625361450256}"
38,DBCV,type=circles-k=2-n=5000-d=2-noise=0.1,"{'CH': 0.30127302750907314, 'DBI': 0.3586366495154568, 'SIL': 0.3326555659419782, 'DI': 0.5012534761251745, 'CJI': 0.3228908747437302, 'COP': 0.24359326629385608, 'DBCV': 0.06193316341266411}"
39,DBCV,type=moons-k=2-n=5000-d=2-noise=0.0,"{'CH': 0.0835389818115346, 'DBI': 0.08264326843981354, 'SIL': 0.08916918014806689, 'DI': 0.9706973768394114, 'CJI': 0.08425189653596563, 'COP': 0.9693995064436524, 'DBCV': 0.9908052280413124}"
40,DBCV,type=moons-k=2-n=5000-d=2-noise=0.01,"{'CH': -0.21880721763316419, 'DBI': -0.2917382979020784, 'SIL': -0.14383552070666836, 'DI': 0.8893454652186674, 'CJI': 0.25218129662144456, 'COP': 0.8667030064153632, 'DBCV': 0.897682482413762}"
41,DBCV,type=moons-k=2-n=5000-d=2-noise=0.05,"{'CH': -0.19959099615478773, 'DBI': -0.19410400794965219, 'SIL': 0.6594178895977648, 'DI': 0.9104223972809885, 'CJI': 0.6552414418825697, 'COP': 0.8820657574491985, 'DBCV': 0.943916585963842}"
42,DBCV,type=moons-k=2-n=5000-d=2-noise=0.1,"{'CH': 0.27125012816723865, 'DBI': 0.4984167576402752, 'SIL': 0.7744739111816114, 'DI': 0.1543324387397465, 'CJI': 0.78221270624225, 'COP': -0.10231062913527825, 'DBCV': 0.00167112103194499}"
43,SIL,type=varied-k=10-n=5000-d=10-noise=0,"{'CH': 0.8599514505391775, 'DBI': 0.47030547747765866, 'SIL': 0.9191482203177687, 'DI': 0.549284476893471, 'CJI': 0.3650577618294034, 'COP': 0.6576777946493586, 'DBCV': 0.6725196584341838}"
44,CH,type=varied-k=10-n=5000-d=30-noise=0,"{'CH': 0.8956060025910811, 'DBI': 0.3171831138811428, 'SIL': 0.8606059875151059, 'DI': 0.8208069525477736, 'CJI': 0.22058442358123537, 'COP': 0.8638985457906886, 'DBCV': 0.8288346833958756}"
45,CH,type=varied-k=10-n=5000-d=50-noise=0,"{'CH': 0.9501667987125388, 'DBI': 0.486287306946076, 'SIL': 0.8731359805778532, 'DI': 0.8923225630172994, 'CJI': 0.44060389649163334, 'COP': 0.886635206839226, 'DBCV': 0.8829488386201436}"
46,CH,type=varied-k=30-n=5000-d=10-noise=0,"{'CH': 0.9951963639332664, 'DBI': 0.7951854775059196, 'SIL': 0.9754919304357293, 'DI': 0.6099244269888012, 'CJI': 0.3037428777904756, 'COP': 0.8600821925264678, 'DBCV': 0.9679631912261569}"
47,CH,type=varied-k=30-n=5000-d=30-noise=0,"{'CH': 0.9889872173058012, 'DBI': 0.91937069813176, 'SIL': 0.9516101278269419, 'DI': 0.9058594698281144, 'CJI': 0.7798757985404274, 'COP': 0.9765240904621434, 'DBCV': 0.9167590024405117}"
48,CH,type=varied-k=30-n=5000-d=50-noise=0,"{'CH': 0.9847459826719744, 'DBI': 0.9164317706085527, 'SIL': 0.984088787197391, 'DI': 0.9600462894661683, 'CJI': 0.8861216847113761, 'COP': 0.9729246387102712, 'DBCV': 0.9722016089029286}"
49,SIL,type=varied-k=50-n=5000-d=10-noise=0,"{'CH': 0.9946247342452567, 'DBI': 0.9960527899233824, 'SIL': 0.9980103493922741, 'DI': 0.9906454330298047, 'CJI': 0.9886878735609131, 'COP': 0.9941433671627422, 'DBCV': 0.9943037315850425}"
50,CH,type=varied-k=50-n=5000-d=30-noise=0,"{'CH': 0.981621892888991, 'DBI': 0.9520908193152887, 'SIL': 0.9789068355800362, 'DI': 0.9333202516189746, 'CJI': 0.9006780752537918, 'COP': 0.9570705689767367, 'DBCV': 0.9597081628647611}"
51,CH,type=varied-k=50-n=5000-d=50-noise=0,"{'CH': 0.9395246012460489, 'DBI': 0.9211444649480203, 'SIL': 0.8876728847313321, 'DI': 0.7723000240252065, 'CJI': 0.7825085159851488, 'COP': 0.8972831746843768, 'DBCV': 0.7320601406755942}"
52,SIL,type=gaussian-k=10-n=10000-d=10-noise=0,"{'CH': 0.9817959970563149, 'DBI': 0.9606704364346743, 'SIL': 0.9833721626838849, 'DI': 0.930853489901586, 'CJI': 0.9535835770438357, 'COP': 0.9473607135725224, 'DBCV': 0.7451311479933519}"
53,CH,type=gaussian-k=10-n=10000-d=30-noise=0,"{'CH': 0.9626538864788959, 'DBI': 0.5818092565291402, 'SIL': 0.8374214009170371, 'DI': 0.49519633380839584, 'CJI': 0.4335361696216571, 'COP': 0.6699758752913273, 'DBCV': 0.7316487103792567}"
54,CH,type=gaussian-k=10-n=10000-d=50-noise=0,"{'CH': 0.943256156107573, 'DBI': 0.5548578870566734, 'SIL': 0.7310606771481024, 'DI': 0.4443418477587024, 'CJI': 0.3675709397015194, 'COP': 0.5189777926272182, 'DBCV': 0.4750637746904726}"
55,CH,type=gaussian-k=30-n=10000-d=10-noise=0,"{'CH': 0.969982188151106, 'DBI': 0.938153590828241, 'SIL': 0.9659566528809974, 'DI': 0.8884100024166388, 'CJI': 0.878846961251802, 'COP': 0.9663999544274808, 'DBCV': 0.9023677716769091}"
56,CH,type=gaussian-k=30-n=10000-d=30-noise=0,"{'CH': 0.9610851706659341, 'DBI': 0.832093185847337, 'SIL': 0.937713800594272, 'DI': 0.7518455777315934, 'CJI': 0.6118081826263052, 'COP': 0.9294988638917326, 'DBCV': 0.7927831732371453}"
57,CH,type=gaussian-k=30-n=10000-d=50-noise=0,"{'CH': 0.9982962612399431, 'DBI': 0.9982962612399431, 'SIL': 0.9937529578797917, 'DI': 0.9935636535731186, 'CJI': 0.9935636535731186, 'COP': 0.9948887837198296, 'DBCV': 0.9935160217478688}"
